"P&L и Cash Flow Оператора, 7-летняя траектория",,,,,,,,
"Все удельные значения тянутся из Unit_Economics (колонка F = базовый из DASHBOARD), ЗА ИСКЛЮЧЕНИЕМ HQ-команды Оператора — она в фиксированных по годам (см. блок 5). Управление моделью — через DASHBOARD. Жёлтые ячейки в этом листе — допущения по годам.",,,,,,,,
,,,,,,,,
1. ДОПУЩЕНИЯ МОДЕЛИ ПО ГОДАМ (изменяемые вручную),,,,,,,,
Статья (млн ₽/год),Год 1,Год 2,Год 3,Год 4,Год 5,Год 6,Год 7,
Маркетинг recruitment в Индии,300,200,150,100,100,100,100,
Стартовые единоразовые CAPEX (вход в эксплуатацию),300,-,-,-,-,-,-,
"Срок амортизации стартовых CAPEX, лет",3,,,,,,,
"HQ-команда Оператора (корп. функции, фикс. по годам)",300,600,"1,000","1,500","2,000","2,500","3,000",
,,,,,,,,
2. КОНТИНГЕНТ (тыс. чел.),,,,,,,,
Показатель,Год 1,Год 2,Год 3,Год 4,Год 5,Год 6,Год 7,Кумулятив 7Y
Контингент на конец года,25,100,250,500,700,850,"1,000",
Контингент на начало года,-,25,100,250,500,700,850,
Средний контингент за год = (нач + кон) / 2,12.5,62.5,175.0,374.9,599.9,775.0,925.0,
Чистый рост за год (кон − нач),25,75,150,250,200,150,150,
Уехавшие за год (контракт 36 мес.),-,-,-,25,75,150,275,
"Новые участники, всего (рост + ротация)",25,75,150,275,275,300,425,
,,,,,,,,
3. ВЫРУЧКА (млрд ₽/год),,,,,,,,
Выручка от контрактов Платформ,19.80,99.00,277.20,593.80,950.20,"1,227.60","1,465.20","4,632.80"
Разовый setup fee при вводе нового участника (one-off),1.88,5.63,11.25,20.61,20.64,22.50,31.86,114.36
Доход от размещения эскроу-средств (float income),0.30,1.51,4.23,9.07,14.51,18.75,22.38,70.76
ИТОГО выручка,21.98,106.14,292.68,623.48,985.36,"1,268.85","1,519.43","4,817.92"
,,,,,,,,
4. ПЕРЕМЕННЫЕ ЗАТРАТЫ (млрд ₽/год — на средний контингент × 12),,,,,,,,
ФОТ gross (вкл. НДФЛ внутри),8.28,41.38,115.86,248.19,397.16,513.10,612.41,"1,936.39"
Жильё,1.35,6.75,18.90,40.49,64.79,83.70,99.90,315.87
Питание,1.43,7.13,19.95,42.74,68.39,88.35,105.45,333.42
